entryid,station,tempdew,pressure,wind,vis,auto,datetime,rmk,weather,skycover,needfix,obsdate
1,KPDK,28/14,3008,2005,10,0,102053,AO2 SLP175 T02780139 56011,NA,SCT060,0,20210910
2,KPDK,28/14,3009,0,10,1,101953,AO2 SLP177 T02830139,NA,BKN060,0,20210910
3,KPDK,28/14,3010,0,10,0,101853,AO2 SLP182 T02830139,NA,CLR,0,20210910
4,KPDK,26/14,3012,14006,10,0,101753,AO2 SLP187 T02610139 10267 20144 58007,NA,CLR,0,20210910
5,KPDK,26/15,3012,0,10,0,101653,AO2 SLPNO T02610150,NA,CLR,0,20210910
6,KPDK,24/14,3013,VRB03,10,0,101553,AO2 SLP193 T02390139,NA,CLR,0,20210910
7,KPDK,23/13,3014,VRB05,10,0,101453,AO2 SLP195 T02280133 51015,NA,CLR,0,20210910
8,KPDK,22/15,3012,0,10,0,101353,AO2 SLP189 T02220150,NA,CLR,0,20210910
9,KPDK,19/14,3011,36003,10,0,101253,AO2 SLP186 T01890139,NA,FEW060,0,20210910
10,KPDK,14/13,3009,0,10,0,101153,AO2 SLP181 T01440133 10167 20133 53023,NA,SCT060,0,20210910
11,KPDK,13/13,3006,0,10,0,101053,AO2 SLP171 T01330128,NA,CLR,0,20210910
12,KPDK,14/13,3004,0,10,1,100953,AO2 SLP162 T01440133,NA,CLR,0,20210910
13,KPDK,14/13,3002,0,10,1,100853,AO2 SLP156 T01440133 53000 $,NA,CLR,1,20210910
14,KPDK,14/13,3002,0,10,1,100753,AO2 SLP153 T01440133 $,NA,CLR,1,20210910
15,KPDK,15/13,3002,1004,10,1,100653,AO2 SLP153 T01500133 $,NA,CLR,1,20210910
16,KPDK,16/13,3002,0,10,1,100553,AO2 SLP154 T01610133 10233 20161 $,NA,CLR,1,20210910
17,KPDK,17/13,3002,2003,NA,1,100453,AO2 SLP153 T01670133 402780167 $,NA,NA,1,20210910
18,KPDK,19/13,3000,33007,10,0,100253,AO2 SLP145 T01940133 51018,NA,CLR,0,20210910
19,KPDK,21/13,2998,33006,10,0,100153,AO2 SLP140 T02060133,NA,CLR,0,20210910
20,KPDK,22/13,2996,33006,10,0,100053,AO2 SLP133 T02220128,NA,CLR,0,20210910
21,KPDK,23/13,2995,32005,10,0,92353,AO2 SLP126 T02330128 10278 20233 53012,NA,CLR,0,20210909
22,KPDK,26/12,2993,31007G18,10,0,92253,AO2 SLP121 T02560122,NA,CLR,0,20210909
23,KPDK,27/12,2992,34011G18,10,0,92153,AO2 SLP114 T02670122,NA,CLR,0,20210909
24,KPDK,27/13,2991,31011,10,0,92053,AO2 SLP111 T02720128 58000,NA,CLR,0,20210909
25,KPDK,28/14,2991,33011G20,10,0,91953,AO2 SLP110 T02780139,NA,CLR,0,20210909
26,KPDK,27/16,2991,33010G18,10,0,91853,AO2 SLP112 T02720156,NA,FEW046,0,20210909
27,KPDK,26/16,2991,32008G18,10,0,91753,AO2 SLP112 T02560156 10272 20217 51001,NA,SCT045;BKN050,0,20210909
28,KPDK,27/16,2991,34010,10,0,91653,AO2 SLP111 T02720161,NA,FEW045,0,20210909
29,KPDK,26/17,2992,32009,10,0,91553,AO2 SLP114 T02610167,NA,CLR,0,20210909
30,KPDK,25/18,2991,31013G18,10,0,91453,AO2 SLP111 T02500178 51015,NA,CLR,0,20210909
31,KPDK,24/18,2989,33009,10,0,91353,AO2 SLP106 T02390183,NA,FEW100,0,20210909
32,KPDK,22/19,2988,33006,10,0,91323,AO2 T02220194,NA,BKN100,0,20210909
33,KPDK,22/20,2988,32006,9,0,91300,AO2 T02220200,NA,SCT010;BKN014;OVC100,0,20210909
34,KPDK,22/21,2988,31006,8,0,91253,AO2 SLP105 T02220206,NA,BKN006;BKN016,0,20210909
35,KPDK,22/21,2988,31009,7,0,91234,AO2 T02170206,NA,BKN006;BKN016,0,20210909
36,KPDK,22/21,2988,30005,7,0,91224,AO2 T02170211,NA,SCT012;BKN016,0,20210909
37,KPDK,22/21,2987,28004,8,0,91207,AO2 T02170206,NA,SCT016,0,20210909
